ra,ano,ida,ieg,ips,ipv,fase,idade,alvo
RA-696,2023,6.7,9.4,5.02,8.503333333,1,9.0,0
RA-698,2023,5.7,9.9,2.52,8.113333333,1,9.0,0
RA-718,2023,7.8,9.1,3.77,8.39,1,9.0,0
RA-721,2023,8.4,9.5,7.52,8.443333333,1,9.0,0
RA-733,2023,6.2,8.7,7.52,8.893333333,1,9.0,1
RA-737,2023,7.5,7.8,7.52,7.783333333,1,9.0,0
RA-738,2023,6.0,9.3,7.52,8.336666667,1,9.0,1
RA-746,2023,7.2,8.0,3.77,7.113333333,1,9.0,0
RA-764,2023,7.8,9.2,7.52,8.56,1,9.0,0
RA-770,2023,5.9,8.3,3.77,8.92,0,8.0,1
RA-771,2023,8.2,8.8,3.14,8.585,0,7.0,1
RA-777,2023,6.3,9.3,7.52,8.84,1,9.0,0
RA-788,2023,6.9,9.8,2.52,8.283333333,1,9.0,0
RA-789,2023,7.9,9.5,7.52,10.01,0,8.0,0
RA-801,2023,7.6,7.5,7.52,7.12,1,9.0,1
RA-81,2023,6.3,8.8,2.52,7.2125,5,15.0,0
RA-810,2023,6.9,8.5,7.52,7.836666667,1,9.0,1
RA-819,2023,9.5,8.3,7.52,8.893333333,1,9.0,0
RA-829,2023,8.4,9.4,3.14,9.23,1,9.0,0
RA-837,2023,7.0,9.3,7.52,7.836666667,1,9.0,0
RA-854,2023,6.0,9.5,3.77,8.01,0,8.0,0
RA-855,2023,6.8,10.0,7.52,8.67,1,9.0,0
RA-858,2023,9.3,8.1,3.77,7.946666667,0,8.0,1
RA-859,2023,7.3,9.2,7.52,10.01,0,8.0,0
RA-860,2023,7.4,9.8,6.89,8.34,0,8.0,0
RA-861,2023,9.6,10.0,8.13,8.92,0,8.0,1
RA-863,2023,6.3,7.6,3.14,6.26,0,7.0,1
RA-867,2023,8.9,8.6,8.76,8.415,0,8.0,1
RA-868,2023,7.1,9.5,8.76,8.67,0,7.0,1
RA-87,2023,9.3,10.0,5.63,8.385,6,16.0,0
RA-876,2023,7.5,9.4,7.52,8.835,0,8.0,0
RA-880,2023,6.3,9.4,2.52,8.585,0,7.0,1
RA-884,2023,8.8,9.7,4.39,8.66,0,7.0,1
RA-885,2023,8.7,9.8,7.52,8.665,0,7.0,1
RA-886,2023,8.1,9.4,7.52,9.0,0,7.0,1
RA-888,2023,8.8,10.0,7.52,8.83,0,7.0,1
RA-889,2023,9.1,9.5,6.89,9.0,0,8.0,1
RA-892,2023,8.3,9.6,6.89,10.01,0,8.0,0
RA-895,2023,6.8,9.5,7.52,9.5,0,8.0,1
RA-896,2023,8.5,10.0,6.89,10.01,0,7.0,0
RA-899,2023,9.5,9.8,3.77,9.34,0,8.0,0
RA-90,2023,7.7,9.6,7.52,8.1725,5,14.0,0
RA-900,2023,7.8,9.8,9.38,8.67,0,8.0,0
RA-903,2023,7.8,9.6,5.02,9.01,0,8.0,0
RA-904,2023,6.4,9.3,7.52,7.836666667,0,7.0,1
RA-907,2023,9.3,9.6,7.52,8.336666667,0,8.0,1
RA-908,2023,7.9,9.0,7.52,8.223333333,0,8.0,1
RA-910,2023,8.9,8.8,7.52,8.17,0,8.0,0
RA-918,2023,7.7,8.7,2.52,7.01,0,7.0,1
RA-920,2023,6.1,6.3,7.52,6.35,0,8.0,1
RA-921,2023,6.3,9.7,7.52,6.68,0,7.0,1
RA-922,2023,8.4,9.7,3.14,10.01,0,8.0,0
RA-923,2023,7.3,9.9,7.52,10.01,0,8.0,0
RA-924,2023,5.0,5.6,7.52,5.93,0,8.0,1
RA-925,2023,5.4,8.9,7.52,5.595,0,7.0,1
RA-928,2023,9.8,10.0,7.52,9.67,0,8.0,0
RA-929,2023,8.8,9.8,7.52,9.67,0,8.0,1
RA-930,2023,9.0,8.8,7.52,9.0,0,8.0,1
RA-931,2023,7.8,8.2,2.52,7.6,0,8.0,1
RA-934,2023,8.7,9.6,7.52,9.67,0,8.0,1
RA-937,2023,9.2,9.6,7.52,9.67,0,8.0,1
RA-941,2023,5.0,10.0,7.52,8.175,0,8.0,1
RA-943,2023,8.0,9.4,7.52,9.925,0,8.0,0
RA-945,2023,7.9,9.2,7.52,6.84,0,8.0,1
RA-946,2023,9.3,9.4,7.52,7.0,0,7.0,1
RA-947,2023,3.3,7.9,7.52,5.08,0,8.0,1
RA-949,2023,8.9,8.1,7.52,6.5,0,8.0,1
RA-950,2023,9.3,10.0,7.52,8.17,0,8.0,1
RA-951,2023,8.4,9.7,7.52,9.09,0,7.0,1
RA-952,2023,9.0,9.2,3.77,8.425,0,8.0,0
RA-953,2023,8.3,8.8,3.14,7.09,0,8.0,0
RA-954,2023,7.7,8.3,3.14,8.005,0,8.0,0
RA-958,2023,9.3,9.8,7.52,9.84,0,8.0,0
RA-959,2023,7.7,9.6,7.52,8.84,0,8.0,1
RA-969,2023,5.5,9.7,7.52,7.51,0,8.0,1
RA-971,2023,6.9,6.4,3.77,8.17,0,8.0,1
RA-972,2023,6.0,9.1,3.77,7.84,0,8.0,1
RA-974,2023,8.8,9.1,3.77,9.34,0,7.0,1
RA-975,2023,6.5,9.2,7.52,7.67,0,7.0,1
RA-977,2023,5.8,7.4,5.02,8.085,0,7.0,1
RA-978,2023,8.6,9.8,3.77,9.34,0,7.0,1
RA-979,2023,6.0,9.6,6.27,9.51,0,8.0,1
RA-980,2023,6.3,9.8,5.02,9.34,0,8.0,0
RA-981,2023,5.8,9.1,2.52,9.01,0,7.0,1
RA-982,2023,8.6,9.1,2.52,8.835,0,7.0,0
RA-984,2023,8.3,9.8,7.52,9.84,0,8.0,0
RA-985,2023,6.8,9.3,2.52,8.5,0,8.0,0
RA-986,2023,8.3,9.1,2.52,8.83,0,8.0,0
RA-987,2023,7.3,9.8,6.27,9.76,0,8.0,0
RA-994,2023,6.0,9.4,3.77,7.265,0,8.0,1
